OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,Discount,LineNumber,LineTotal
ORDDET000029,ORD00008,PROD00096,2,1192.93,0.00,2,2385.86
ORDDET000030,ORD00008,PROD00989,1,135.08,0.05,3,128.33
ORDDET000031,ORD00009,PROD00283,3,465.71,0.00,1,1397.13
ORDDET000032,ORD00009,PROD00922,2,896.97,0.05,2,1704.24
ORDDET000033,ORD00009,PROD00837,2,1197.88,0.05,3,2275.97
ORDDET000034,ORD00010,PROD00675,3,615.50,0.05,1,1754.17
ORDDET000035,ORD00010,PROD00917,4,677.11,0.00,2,2708.44
ORDDET000036,ORD00010,PROD00398,4,829.19,0.15,3,2819.25
ORDDET000037,ORD00010,PROD00536,2,119.56,0.00,4,239.12
ORDDET000038,ORD00011,PROD00300,3,211.70,0.05,1,603.34
ORDDET000039,ORD00011,PROD00185,1,697.59,0.05,2,662.71
ORDDET000040,ORD00011,PROD00639,3,472.59,0.00,3,1417.77
ORDDET000041,ORD00011,PROD00999,1,67.20,0.10,4,60.48
ORDDET000042,ORD00011,PROD00047,5,920.91,0.05,5,4374.32
ORDDET000043,ORD00012,PROD00089,4,29.89,0.10,1,107.60
ORDDET000044,ORD00013,PROD00579,2,50.92,0.00,1,101.84
ORDDET000045,ORD00013,PROD00194,2,196.57,0.00,2,393.14
ORDDET000046,ORD00013,PROD00177,5,515.92,0.00,3,2579.60
ORDDET000047,ORD00013,PROD00307,4,314.93,0.00,4,1259.72
ORDDET000048,ORD00013,PROD00715,3,310.66,0.00,5,931.98
ORDDET000049,ORD00014,PROD00788,4,607.89,0.00,1,2431.56
ORDDET000050,ORD00015,PROD00276,4,486.91,0.00,1,1947.64
ORDDET000051,ORD00015,PROD00354,2,324.13,0.10,2,583.43
ORDDET000052,ORD00016,PROD00587,1,253.68,0.00,1,253.68
ORDDET000053,ORD00016,PROD00262,3,490.81,0.00,2,1472.43
ORDDET000054,ORD00016,PROD00460,5,506.76,0.00,3,2533.80
ORDDET000055,ORD00016,PROD00584,2,646.06,0.05,4,1227.51
ORDDET000056,ORD00017,PROD00429,5,1165.87,0.00,1,5829.35
ORDDET000057,ORD00017,PROD00573,3,1169.54,0.15,2,2982.33
ORDDET000058,ORD00018,PROD00178,3,1143.21,0.00,1,3429.63
ORDDET000059,ORD00018,PROD00203,1,541.52,0.00,2,541.52
ORDDET000060,ORD00018,PROD00529,5,1131.58,0.00,3,5657.90
ORDDET000061,ORD00018,PROD00445,2,63.81,0.10,4,114.86
ORDDET000062,ORD00019,PROD00641,4,522.26,0.15,1,1775.68
ORDDET000063,ORD00019,PROD00907,3,585.65,0.00,2,1756.95
ORDDET000064,ORD00019,PROD00321,1,1152.10,0.05,3,1094.49
ORDDET000065,ORD00020,PROD00286,1,1080.22,0.00,1,1080.22
ORDDET000066,ORD00020,PROD00241,5,481.42,0.00,2,2407.10
ORDDET000067,ORD00020,PROD00329,4,922.57,0.10,3,3321.25
ORDDET000068,ORD00020,PROD00799,1,449.02,0.00,4,449.02
ORDDET000069,ORD00020,PROD00605,4,415.88,0.00,5,1663.52
ORDDET000070,ORD00020,PROD00618,3,82.63,0.05,6,235.50
ORDDET000071,ORD00021,PROD00651,4,389.38,0.10,1,1401.77
ORDDET000072,ORD00021,PROD00421,5,1165.50,0.00,2,5827.50
ORDDET000073,ORD00021,PROD00755,3,300.20,0.00,3,900.60
ORDDET000074,ORD00021,PROD00097,4,251.54,0.00,4,1006.16
ORDDET000075,ORD00021,PROD00301,4,145.67,0.15,5,495.28
ORDDET000076,ORD00021,PROD00228,4,847.60,0.00,6,3390.40
ORDDET000077,ORD00022,PROD00771,3,651.81,0.05,1,1857.66
ORDDET000078,ORD00022,PROD00463,3,998.15,0.05,2,2844.73
ORDDET000079,ORD00022,PROD00864,4,218.87,0.00,3,875.48
ORDDET000080,ORD00022,PROD00668,4,195.08,0.00,4,780.32
ORDDET000081,ORD00022,PROD00987,4,747.16,0.10,5,2689.78
ORDDET000082,ORD00023,PROD00377,3,43.63,0.15,1,111.26
ORDDET000083,ORD00024,PROD00532,3,906.59,0.10,1,2447.79
ORDDET000084,ORD00025,PROD00624,4,879.22,0.05,1,3341.04
ORDDET000085,ORD00025,PROD00585,2,1058.92,0.10,2,1906.06
ORDDET000086,ORD00025,PROD00035,1,66.84,0.00,3,66.84
ORDDET000087,ORD00025,PROD00961,5,1002.70,0.00,4,5013.50
ORDDET000088,ORD00025,PROD00062,3,736.72,0.00,5,2210.16
ORDDET000089,ORD00025,PROD00153,4,244.61,0.15,6,831.67
ORDDET000090,ORD00026,PROD00395,3,277.90,0.05,1,792.01
ORDDET000091,ORD00026,PROD00021,4,507.67,0.00,2,2030.68
ORDDET000092,ORD00026,PROD00298,3,1006.07,0.00,3,3018.21
ORDDET000093,ORD00026,PROD01000,2,1017.68,0.15,4,1730.06
ORDDET000094,ORD00026,PROD00242,2,59.53,0.05,5,113.11
ORDDET000095,ORD00027,PROD00937,5,1113.06,0.00,1,5565.30
ORDDET000096,ORD00027,PROD00436,2,692.39,0.00,2,1384.78
ORDDET000097,ORD00027,PROD00607,4,1154.08,0.05,3,4385.50
ORDDET000098,ORD00028,PROD00451,4,774.08,0.15,1,2631.87
ORDDET000099,ORD00028,PROD00682,1,396.19,0.10,2,356.57
ORDDET000100,ORD00028,PROD00217,2,176.12,0.00,3,352.24
ORDDET000101,ORD00028,PROD00023,2,890.68,0.05,4,1692.29
ORDDET000102,ORD00028,PROD00838,4,697.23,0.05,5,2649.47
ORDDET000103,ORD00028,PROD00415,5,873.42,0.15,6,3712.03
ORDDET000104,ORD00029,PROD00795,1,361.64,0.10,1,325.48
ORDDET000105,ORD00029,PROD00084,4,275.63,0.10,2,992.27
ORDDET000106,ORD00029,PROD00630,5,745.72,0.05,3,3542.17
ORDDET000107,ORD00030,PROD00224,3,1014.47,0.15,1,2586.90
ORDDET000108,ORD00030,PROD00515,5,686.28,0.00,2,3431.40
ORDDET000109,ORD00030,PROD00779,4,623.02,0.05,3,2367.48
ORDDET000110,ORD00031,PROD00587,2,253.68,0.00,1,507.36
ORDDET000111,ORD00031,PROD00425,2,691.04,0.15,2,1174.77
ORDDET000112,ORD00032,PROD00711,4,358.46,0.05,1,1362.15
ORDDET000113,ORD00032,PROD00633,1,432.94,0.15,2,368.00
ORDDET000114,ORD00032,PROD00890,3,290.11,0.15,3,739.78
ORDDET000115,ORD00032,PROD00869,3,909.32,0.00,4,2727.96
ORDDET000116,ORD00032,PROD00516,3,802.69,0.10,5,2167.26
ORDDET000117,ORD00033,PROD00143,1,700.62,0.15,1,595.53
ORDDET000118,ORD00033,PROD00849,4,924.81,0.00,2,3699.24
ORDDET000119,ORD00034,PROD00664,4,1060.50,0.15,1,3605.70
ORDDET000120,ORD00034,PROD00878,1,313.65,0.10,2,282.28
ORDDET000121,ORD00034,PROD00575,4,472.62,0.15,3,1606.91
ORDDET000122,ORD00035,PROD00454,1,889.12,0.00,1,889.12
ORDDET000123,ORD00035,PROD00031,4,116.45,0.00,2,465.80
ORDDET000124,ORD00035,PROD00417,5,172.22,0.15,3,731.93
ORDDET000125,ORD00035,PROD00401,1,559.80,0.05,4,531.81
ORDDET000126,ORD00035,PROD00211,2,887.80,0.10,5,1598.04
ORDDET000127,ORD00035,PROD00192,5,772.05,0.00,6,3860.25
ORDDET000128,ORD00036,PROD00860,5,160.20,0.00,1,801.00
ORDDET000129,ORD00036,PROD00631,4,1172.72,0.00,2,4690.88
ORDDET000130,ORD00036,PROD00083,5,142.65,0.00,3,713.25
ORDDET000131,ORD00036,PROD00690,4,331.40,0.15,4,1126.76
ORDDET000132,ORD00036,PROD00581,3,656.97,0.00,5,1970.91
ORDDET000133,ORD00037,PROD00475,4,155.93,0.15,1,530.16
ORDDET000134,ORD00037,PROD00093,1,424.18,0.10,2,381.76
ORDDET000135,ORD00038,PROD00843,3,841.33,0.00,1,2523.99
ORDDET000136,ORD00038,PROD00851,4,1158.28,0.10,2,4169.81
ORDDET000137,ORD00038,PROD00316,3,693.28,0.00,3,2079.84
ORDDET000138,ORD00038,PROD00626,1,915.19,0.00,4,915.19
ORDDET000139,ORD00039,PROD00713,2,415.09,0.00,1,830.18
ORDDET000140,ORD00039,PROD00606,2,363.62,0.00,2,727.24
ORDDET000141,ORD00039,PROD00549,3,1007.68,0.15,3,2569.58
ORDDET000142,ORD00039,PROD00704,5,655.08,0.15,4,2784.09
ORDDET000143,ORD00039,PROD00977,1,706.61,0.00,5,706.61
ORDDET000144,ORD00039,PROD00681,3,263.63,0.00,6,790.89
ORDDET000145,ORD00040,PROD00626,5,915.19,0.00,1,4575.95
ORDDET000146,ORD00040,PROD00429,1,1165.87,0.10,2,1049.28
ORDDET000147,ORD00040,PROD00461,3,165.61,0.10,3,447.15
ORDDET000148,ORD00040,PROD00028,4,159.00,0.00,4,636.00
ORDDET000149,ORD00040,PROD00390,1,574.98,0.00,5,574.98
ORDDET000150,ORD00041,PROD00622,3,950.95,0.00,1,2852.85
ORDDET000151,ORD00041,PROD00544,5,1121.43,0.10,2,5046.44
ORDDET000152,ORD00041,PROD00167,3,857.19,0.15,3,2185.83
ORDDET000153,ORD00042,PROD00832,2,729.37,0.15,1,1239.93
ORDDET000154,ORD00042,PROD00056,1,820.15,0.05,2,779.14
ORDDET000155,ORD00043,PROD00552,1,103.45,0.05,1,98.28
ORDDET000156,ORD00043,PROD00115,4,654.21,0.15,2,2224.31
ORDDET000157,ORD00043,PROD00425,3,691.04,0.15,3,1762.15
ORDDET000158,ORD00043,PROD00483,2,669.13,0.15,4,1137.52
ORDDET000159,ORD00043,PROD00515,1,686.28,0.00,5,686.28
ORDDET000160,ORD00043,PROD00881,5,140.48,0.10,6,632.16
ORDDET000161,ORD00044,PROD00106,4,175.46,0.15,1,596.56
ORDDET000162,ORD00045,PROD00904,2,216.59,0.15,1,368.20
ORDDET000163,ORD00045,PROD00791,5,167.41,0.00,2,837.05
ORDDET000164,ORD00045,PROD00595,3,496.49,0.00,3,1489.47
ORDDET000165,ORD00046,PROD00963,1,1117.43,0.00,1,1117.43
ORDDET000166,ORD00046,PROD00460,4,506.76,0.00,2,2027.04
ORDDET000167,ORD00047,PROD00160,4,919.99,0.00,1,3679.96
ORDDET000168,ORD00047,PROD00423,2,334.88,0.00,2,669.76
ORDDET000169,ORD00047,PROD00646,5,570.86,0.15,3,2426.16
ORDDET000170,ORD00047,PROD00306,5,680.22,0.00,4,3401.10
ORDDET000171,ORD00047,PROD00044,5,332.03,0.15,5,1411.13
ORDDET000172,ORD00048,PROD00466,2,626.30,0.05,1,1189.97
ORDDET000173,ORD00049,PROD00542,5,189.83,0.05,1,901.69
ORDDET000174,ORD00049,PROD00170,5,369.40,0.00,2,1847.00
ORDDET000175,ORD00050,PROD00892,5,235.00,0.00,1,1175.00
ORDDET000176,ORD00050,PROD00789,1,1034.72,0.15,2,879.51
ORDDET000177,ORD00050,PROD00304,1,870.51,0.05,3,826.98
ORDDET000178,ORD00050,PROD00853,2,51.26,0.10,4,92.27
ORDDET000179,ORD00050,PROD00307,5,314.93,0.15,5,1338.45
ORDDET000180,ORD00050,PROD00863,5,1124.84,0.00,6,5624.20
ORDDET000181,ORD00051,PROD00189,3,858.89,0.00,1,2576.67
ORDDET000182,ORD00051,PROD00657,1,983.21,0.05,2,934.05
ORDDET000183,ORD00051,PROD00663,5,737.63,0.00,3,3688.15
ORDDET000184,ORD00051,PROD00479,4,452.49,0.10,4,1628.96
ORDDET000185,ORD00051,PROD00647,1,1092.62,0.15,5,928.73
ORDDET000186,ORD00052,PROD00906,2,471.76,0.05,1,896.34
ORDDET000187,ORD00052,PROD00916,4,406.70,0.05,2,1545.46
ORDDET000188,ORD00052,PROD00395,2,277.90,0.00,3,555.80
ORDDET000189,ORD00052,PROD00880,5,396.67,0.00,4,1983.35
ORDDET000190,ORD00052,PROD00113,5,1153.93,0.00,5,5769.65
ORDDET000191,ORD00053,PROD00246,5,1006.59,0.00,1,5032.95
ORDDET000192,ORD00054,PROD00059,2,1094.41,0.05,1,2079.38
ORDDET000193,ORD00054,PROD00651,2,389.38,0.15,2,661.95
ORDDET000194,ORD00054,PROD00776,3,82.31,0.00,3,246.93
ORDDET000195,ORD00054,PROD00824,3,518.98,0.00,4,1556.94
ORDDET000196,ORD00055,PROD00823,2,373.07,0.15,1,634.22
ORDDET000197,ORD00055,PROD00610,3,204.42,0.00,2,613.26
ORDDET000198,ORD00055,PROD00391,5,630.39,0.15,3,2679.16
ORDDET000199,ORD00056,PROD00922,1,896.97,0.15,1,762.42
ORDDET000200,ORD00056,PROD00007,3,428.86,0.15,2,1093.59
ORDDET000201,ORD00056,PROD00084,2,275.63,0.00,3,551.26
ORDDET000202,ORD00056,PROD00183,2,794.63,0.15,4,1350.87
ORDDET000203,ORD00057,PROD00221,1,206.78,0.10,1,186.10
ORDDET000204,ORD00057,PROD00418,1,861.42,0.00,2,861.42
ORDDET000205,ORD00057,PROD00611,2,331.04,0.05,3,628.98
ORDDET000206,ORD00058,PROD00255,5,270.59,0.00,1,1352.95
ORDDET000207,ORD00058,PROD00010,5,1037.84,0.05,2,4929.74
ORDDET000208,ORD00058,PROD00188,4,610.53,0.15,3,2075.80
ORDDET000209,ORD00059,PROD00256,5,297.31,0.05,1,1412.22
ORDDET000210,ORD00060,PROD00780,3,914.05,0.00,1,2742.15
ORDDET000211,ORD00060,PROD00460,4,506.76,0.00,2,2027.04
ORDDET000212,ORD00060,PROD00001,2,260.10,0.15,3,442.17
ORDDET000213,ORD00060,PROD00136,3,487.51,0.00,4,1462.53
ORDDET000214,ORD00060,PROD00941,3,649.11,0.00,5,1947.33
ORDDET000215,ORD00060,PROD00773,2,177.70,0.15,6,302.09
ORDDET000216,ORD00061,PROD00262,5,490.81,0.05,1,2331.35
ORDDET000217,ORD00061,PROD00514,3,641.73,0.00,2,1925.19
ORDDET000218,ORD00061,PROD00772,1,389.89,0.00,3,389.89
ORDDET000219,ORD00061,PROD00082,4,730.90,0.15,4,2485.06
ORDDET000220,ORD00062,PROD00861,5,198.42,0.10,1,892.89
ORDDET000221,ORD00062,PROD00899,2,779.32,0.00,2,1558.64
ORDDET000222,ORD00062,PROD00921,3,412.27,0.15,3,1051.29
ORDDET000223,ORD00063,PROD00463,3,998.15,0.15,1,2545.28
ORDDET000224,ORD00063,PROD00511,4,206.41,0.05,2,784.36
ORDDET000225,ORD00063,PROD00255,2,270.59,0.00,3,541.18
ORDDET000226,ORD00063,PROD00531,2,649.84,0.00,4,1299.68
ORDDET000227,ORD00063,PROD00379,4,33.35,0.00,5,133.40
ORDDET000228,ORD00064,PROD00413,5,1148.26,0.10,1,5167.17
ORDDET000229,ORD00064,PROD00827,4,186.51,0.00,2,746.04
ORDDET000230,ORD00064,PROD00475,5,155.93,0.00,3,779.65
ORDDET000231,ORD00064,PROD00619,2,21.07,0.00,4,42.14
ORDDET000232,ORD00065,PROD00318,2,1122.03,0.00,1,2244.06
ORDDET000233,ORD00065,PROD00581,1,656.97,0.00,2,656.97
ORDDET000234,ORD00065,PROD00837,2,1197.88,0.10,3,2156.18
ORDDET000235,ORD00065,PROD00497,5,523.35,0.05,4,2485.91
ORDDET000236,ORD00065,PROD00992,2,115.21,0.00,5,230.42
ORDDET000237,ORD00066,PROD00578,4,82.83,0.05,1,314.75
ORDDET000238,ORD00066,PROD00635,4,1056.57,0.00,2,4226.28
ORDDET000239,ORD00066,PROD00132,4,788.84,0.10,3,2839.82
ORDDET000240,ORD00066,PROD00012,5,266.25,0.05,4,1264.69
ORDDET000241,ORD00067,PROD00194,3,196.57,0.05,1,560.22
ORDDET000242,ORD00067,PROD00914,5,966.49,0.10,2,4349.20
ORDDET000243,ORD00068,PROD00674,5,186.95,0.15,1,794.54
ORDDET000244,ORD00068,PROD00841,5,227.94,0.00,2,1139.70
ORDDET000245,ORD00068,PROD00159,2,731.73,0.00,3,1463.46
ORDDET000246,ORD00068,PROD00603,5,458.35,0.15,4,1947.99
ORDDET000247,ORD00068,PROD00937,4,1113.06,0.05,5,4229.63
ORDDET000248,ORD00069,PROD00528,5,306.15,0.00,1,1530.75
ORDDET000249,ORD00069,PROD00476,3,480.08,0.05,2,1368.23
ORDDET000250,ORD00069,PROD00728,1,728.22,0.00,3,728.22
ORDDET000251,ORD00069,PROD00508,1,967.16,0.00,4,967.16
ORDDET000252,ORD00069,PROD00462,3,390.84,0.10,5,1055.27
ORDDET000253,ORD00070,PROD00051,3,1158.35,0.10,1,3127.54
ORDDET000254,ORD00070,PROD00536,2,119.56,0.00,2,239.12
ORDDET000255,ORD00071,PROD00205,2,380.04,0.10,1,684.07
ORDDET000256,ORD00071,PROD00618,1,82.63,0.00,2,82.63
ORDDET000257,ORD00071,PROD00541,2,746.94,0.05,3,1419.19
ORDDET000258,ORD00072,PROD00031,1,116.45,0.00,1,116.45
ORDDET000259,ORD00073,PROD00305,4,908.22,0.05,1,3451.24
ORDDET000260,ORD00073,PROD00051,2,1158.35,0.10,2,2085.03
ORDDET000261,ORD00073,PROD00669,1,33.95,0.00,3,33.95
ORDDET000262,ORD00074,PROD00668,3,195.08,0.15,1,497.45
ORDDET000263,ORD00074,PROD00678,5,132.54,0.00,2,662.70
ORDDET000264,ORD00074,PROD00233,2,737.99,0.00,3,1475.98
ORDDET000265,ORD00074,PROD00874,1,381.63,0.00,4,381.63
ORDDET000266,ORD00074,PROD00035,2,66.84,0.10,5,120.31
ORDDET000267,ORD00074,PROD00892,5,235.00,0.05,6,1116.25
ORDDET000268,ORD00075,PROD00156,5,888.45,0.05,1,4220.14
ORDDET000269,ORD00075,PROD00923,2,790.47,0.00,2,1580.94
ORDDET000270,ORD00075,PROD00651,5,389.38,0.10,3,1752.21
ORDDET000271,ORD00076,PROD00446,4,1163.25,0.00,1,4653.00
ORDDET000272,ORD00076,PROD00660,2,334.76,0.15,2,569.09
ORDDET000273,ORD00076,PROD00336,2,70.14,0.00,3,140.28
ORDDET000274,ORD00076,PROD00853,1,51.26,0.00,4,51.26
ORDDET000275,ORD00076,PROD00688,5,1103.69,0.15,5,4690.68
ORDDET000276,ORD00077,PROD00155,2,733.95,0.00,1,1467.90
ORDDET000277,ORD00077,PROD00057,5,60.92,0.05,2,289.37
ORDDET000278,ORD00077,PROD00532,4,906.59,0.05,3,3445.04
ORDDET000279,ORD00077,PROD00188,5,610.53,0.00,4,3052.65
ORDDET000280,ORD00077,PROD00240,5,676.90,0.00,5,3384.50
ORDDET000281,ORD00077,PROD00345,5,520.17,0.10,6,2340.76
ORDDET000282,ORD00078,PROD00129,5,782.25,0.00,1,3911.25
ORDDET000283,ORD00078,PROD00938,3,885.72,0.05,2,2524.30
ORDDET000284,ORD00078,PROD00961,5,1002.70,0.00,3,5013.50
ORDDET000285,ORD00078,PROD00583,1,303.80,0.00,4,303.80
ORDDET000286,ORD00079,PROD00675,1,615.50,0.05,1,584.73
ORDDET000287,ORD00079,PROD00374,5,163.52,0.05,2,776.72
ORDDET000288,ORD00079,PROD00252,4,652.33,0.00,3,2609.32
ORDDET000289,ORD00079,PROD00644,5,409.60,0.05,4,1945.60
ORDDET000290,ORD00080,PROD00342,3,921.37,0.00,1,2764.11
ORDDET000291,ORD00080,PROD00492,3,1039.28,0.00,2,3117.84
ORDDET000292,ORD00080,PROD00157,3,129.35,0.05,3,368.65
ORDDET000293,ORD00080,PROD00776,3,82.31,0.00,4,246.93
ORDDET000294,ORD00080,PROD00783,2,115.26,0.00,5,230.52
ORDDET000295,ORD00081,PROD00988,2,376.92,0.05,1,716.15
ORDDET000296,ORD00081,PROD00075,5,1097.38,0.00,2,5486.90
ORDDET000297,ORD00082,PROD00100,4,415.21,0.05,1,1577.80
ORDDET000298,ORD00082,PROD00014,2,439.73,0.15,2,747.54
ORDDET000299,ORD00082,PROD00054,2,283.02,0.00,3,566.04
ORDDET000300,ORD00082,PROD00509,4,769.14,0.00,4,3076.56
ORDDET000301,ORD00083,PROD00232,4,85.38,0.00,1,341.52
ORDDET000302,ORD00084,PROD00781,2,99.71,0.15,1,169.51
ORDDET000303,ORD00084,PROD00680,3,753.21,0.10,2,2033.67
ORDDET000304,ORD00084,PROD00184,5,562.40,0.10,3,2530.80
ORDDET000305,ORD00084,PROD00990,1,171.46,0.10,4,154.31
ORDDET000306,ORD00084,PROD00047,2,920.91,0.10,5,1657.64
ORDDET000307,ORD00085,PROD00199,2,66.46,0.00,1,132.92
ORDDET000308,ORD00085,PROD00216,2,612.33,0.00,2,1224.66
ORDDET000309,ORD00085,PROD00471,3,145.79,0.00,3,437.37
ORDDET000310,ORD00085,PROD00042,4,40.32,0.00,4,161.28
ORDDET000311,ORD00086,PROD00624,4,879.22,0.00,1,3516.88
ORDDET000312,ORD00086,PROD00001,4,260.10,0.15,2,884.34
ORDDET000313,ORD00086,PROD00799,5,449.02,0.05,3,2132.84
ORDDET000314,ORD00086,PROD00278,2,775.57,0.00,4,1551.14
ORDDET000315,ORD00086,PROD00506,3,672.38,0.00,5,2017.14
ORDDET000316,ORD00087,PROD00709,4,133.82,0.05,1,508.52
ORDDET000317,ORD00088,PROD00079,5,322.37,0.00,1,1611.85
ORDDET000318,ORD00088,PROD00797,4,1038.91,0.15,2,3532.29
ORDDET000319,ORD00088,PROD00776,1,82.31,0.15,3,69.96
ORDDET000320,ORD00089,PROD00874,4,381.63,0.15,1,1297.54
ORDDET000321,ORD00089,PROD00800,2,769.83,0.15,2,1308.71
ORDDET000322,ORD00089,PROD00999,2,67.20,0.10,3,120.96
ORDDET000323,ORD00089,PROD00366,5,761.58,0.00,4,3807.90
ORDDET000324,ORD00089,PROD00092,1,180.17,0.00,5,180.17
ORDDET000325,ORD00090,PROD00393,3,273.05,0.00,1,819.15
ORDDET000326,ORD00090,PROD00198,5,1197.39,0.00,2,5986.95
ORDDET000327,ORD00090,PROD00995,5,119.70,0.00,3,598.50
ORDDET000328,ORD00091,PROD00002,1,518.98,0.15,1,441.13
ORDDET000329,ORD00091,PROD00353,1,345.47,0.00,2,345.47
ORDDET000330,ORD00091,PROD00355,4,392.91,0.00,3,1571.64
ORDDET000331,ORD00091,PROD00558,3,551.39,0.15,4,1406.04
ORDDET000332,ORD00091,PROD00760,5,716.35,0.05,5,3402.66
ORDDET000333,ORD00092,PROD00375,4,725.88,0.00,1,2903.52
ORDDET000334,ORD00092,PROD00255,4,270.59,0.05,2,1028.24
ORDDET000335,ORD00092,PROD00617,1,140.66,0.00,3,140.66
ORDDET000336,ORD00092,PROD00683,3,718.10,0.00,4,2154.30
ORDDET000337,ORD00092,PROD00120,5,1074.59,0.00,5,5372.95
ORDDET000338,ORD00092,PROD00944,1,866.50,0.15,6,736.52
ORDDET000339,ORD00093,PROD00327,1,395.90,0.10,1,356.31
ORDDET000340,ORD00093,PROD00915,3,431.48,0.00,2,1294.44
ORDDET000341,ORD00093,PROD00320,2,631.28,0.10,3,1136.30
ORDDET000342,ORD00094,PROD00560,1,1109.55,0.15,1,943.12
ORDDET000343,ORD00094,PROD00154,2,1109.39,0.10,2,1996.90
ORDDET000344,ORD00094,PROD00183,4,794.63,0.05,3,3019.59
ORDDET000345,ORD00094,PROD00084,2,275.63,0.15,4,468.57
ORDDET000346,ORD00094,PROD00824,1,518.98,0.00,5,518.98
ORDDET000347,ORD00094,PROD00553,5,599.65,0.00,6,2998.25
ORDDET000348,ORD00095,PROD00568,1,818.68,0.15,1,695.88
ORDDET000349,ORD00095,PROD00409,4,521.26,0.10,2,1876.54
ORDDET000350,ORD00095,PROD00701,5,818.00,0.00,3,4090.00
ORDDET000351,ORD00095,PROD00972,2,339.35,0.05,4,644.76
ORDDET000352,ORD00095,PROD00286,3,1080.22,0.00,5,3240.66
ORDDET000353,ORD00096,PROD00715,4,310.66,0.00,1,1242.64
ORDDET000354,ORD00096,PROD00347,4,767.19,0.15,2,2608.45
ORDDET000355,ORD00096,PROD00093,5,424.18,0.00,3,2120.90
ORDDET000356,ORD00096,PROD00995,2,119.70,0.15,4,203.49
ORDDET000357,ORD00096,PROD00923,2,790.47,0.00,5,1580.94
ORDDET000358,ORD00097,PROD00428,5,1062.08,0.05,1,5044.88
ORDDET000359,ORD00097,PROD00136,3,487.51,0.00,2,1462.53
ORDDET000360,ORD00097,PROD00205,1,380.04,0.10,3,342.04
ORDDET000361,ORD00097,PROD00057,5,60.92,0.00,4,304.60
ORDDET000362,ORD00097,PROD00955,4,184.20,0.05,5,699.96
ORDDET000363,ORD00097,PROD00195,1,970.60,0.10,6,873.54
ORDDET000364,ORD00098,PROD00989,5,135.08,0.00,1,675.40
ORDDET000365,ORD00098,PROD00620,1,1048.71,0.15,2,891.40
ORDDET000366,ORD00098,PROD00572,1,448.23,0.10,3,403.41
ORDDET000367,ORD00098,PROD00495,5,334.66,0.00,4,1673.30
ORDDET000368,ORD00098,PROD00993,5,645.65,0.15,5,2744.01
ORDDET000369,ORD00098,PROD00044,3,332.03,0.00,6,996.09
ORDDET000370,ORD00099,PROD00095,2,139.75,0.15,1,237.57
ORDDET000371,ORD00100,PROD00831,4,353.26,0.00,1,1413.04
ORDDET000372,ORD00100,PROD00400,1,1084.24,0.00,2,1084.24
ORDDET000373,ORD00101,PROD00283,3,465.71,0.00,1,1397.13
ORDDET000374,ORD00101,PROD00567,4,950.47,0.00,2,3801.88
ORDDET000375,ORD00101,PROD00347,2,767.19,0.15,3,1304.22
ORDDET000376,ORD00101,PROD00575,1,472.62,0.00,4,472.62
ORDDET000377,ORD00101,PROD00049,5,518.03,0.15,5,2201.63
ORDDET000378,ORD00102,PROD00034,2,644.82,0.00,1,1289.64
