ProductID,SKU,ProductName,CategoryID,UnitPrice,UnitCost,StockQuantity,Active
PROD00064,SKU-194348,Vintage Smartphone,CAT0344,892.58,587.98,204,true
PROD00065,SKU-872804,Deluxe Blender,CAT0326,1158.24,576.10,250,true
PROD00066,SKU-211555,Classic Sneakers,CAT0896,1014.61,410.51,364,true
PROD00067,SKU-895467,Wireless Camera,CAT0941,565.17,393.56,132,true
PROD00068,SKU-646453,Classic Desk,CAT0379,442.11,240.30,335,true
PROD00069,SKU-814494,Vintage Sneakers,CAT0657,1159.14,794.10,435,true
PROD00070,SKU-806780,Limited Router,CAT0163,597.28,335.38,154,true
PROD00071,SKU-291724,Deluxe Yoga Mat,CAT0517,810.71,563.31,482,true
PROD00072,SKU-785333,Vintage Laptop,CAT0895,273.63,182.80,298,true
PROD00073,SKU-555148,Eco Smartphone,CAT0119,174.79,112.04,113,true
PROD00074,SKU-325196,Premium Tablet,CAT0913,178.05,97.57,300,true
PROD00075,SKU-557109,Eco Guitar,CAT0535,55.93,31.69,141,true
PROD00076,SKU-632041,Modern Monitor,CAT0763,381.06,217.07,310,true
PROD00077,SKU-419612,Eco Vacuum,CAT0626,189.83,122.28,205,false
PROD00078,SKU-708882,Essential Laptop,CAT0814,864.52,512.48,248,true
PROD00079,SKU-862181,Smart Yoga Mat,CAT0486,1170.37,796.86,354,true
PROD00080,SKU-678029,Eco Backpack,CAT0668,594.13,402.44,136,true
PROD00081,SKU-144333,Eco Yoga Mat,CAT0294,59.66,31.35,240,true
PROD00082,SKU-561596,Classic Mixer,CAT0321,927.38,566.98,166,true
PROD00083,SKU-280135,Limited Router,CAT0503,669.81,324.87,363,true
PROD00084,SKU-207999,Modern Guitar,CAT0006,817.18,449.60,221,true
PROD00085,SKU-918617,Modern Tablet,CAT0390,1010.38,689.83,104,true
PROD00086,SKU-288165,Rustic Treadmill,CAT0522,449.80,220.73,307,true
PROD00087,SKU-777735,Modern Backpack,CAT0409,817.58,347.69,210,false
PROD00088,SKU-684550,Vintage Blender,CAT0106,715.38,290.35,36,true
PROD00089,SKU-962824,Vintage Smartphone,CAT0423,674.99,301.14,19,true
PROD00090,SKU-105335,Essential Guitar,CAT0046,65.01,27.83,374,true
PROD00091,SKU-233066,Advanced Sneakers,CAT0032,1163.19,696.52,438,true
PROD00092,SKU-442215,Modern Backpack,CAT0083,518.52,234.88,91,false
PROD00093,SKU-214650,Smart Vacuum,CAT0579,659.57,359.22,496,false
PROD00094,SKU-349205,Classic Headphones,CAT0628,321.75,139.79,8,true
PROD00095,SKU-218033,Eco Speaker,CAT0205,318.43,131.87,469,true
PROD00096,SKU-883722,Rustic Drill,CAT0963,73.29,35.90,163,true
PROD00097,SKU-376422,Premium Router,CAT0464,1043.66,591.75,339,true
PROD00098,SKU-807257,Compact Headphones,CAT0205,508.41,318.19,311,true
PROD00099,SKU-727761,Deluxe Tablet,CAT0409,724.12,342.82,103,true
PROD00100,SKU-887509,Modern Treadmill,CAT0068,266.76,124.20,389,true
PROD00101,SKU-249550,Vintage Blender,CAT0360,69.58,35.20,131,true
PROD00102,SKU-833604,Modern Backpack,CAT0171,996.62,471.23,27,false
PROD00103,SKU-722830,Classic Sneakers,CAT0085,928.42,546.50,85,true
PROD00104,SKU-726056,Smart Router,CAT0447,109.95,69.21,264,true
PROD00105,SKU-473105,Premium Drill,CAT0387,911.83,388.14,384,false
PROD00106,SKU-131440,Eco Printer,CAT0258,636.43,396.32,27,true
PROD00107,SKU-372613,Modern Printer,CAT0600,1024.19,414.83,41,true
PROD00108,SKU-433714,Ultra Headphones,CAT0550,361.05,170.18,392,false
PROD00109,SKU-253756,Eco Drill,CAT0040,217.63,129.51,274,true
PROD00110,SKU-781164,Rustic Chair,CAT0020,473.64,203.68,239,true
PROD00111,SKU-734860,Eco Tablet,CAT0885,1105.86,590.86,281,true
PROD00112,SKU-699381,Limited Laptop,CAT0154,544.96,243.53,462,true
PROD00113,SKU-665555,Limited Headphones,CAT0928,701.95,324.56,72,true
PROD00114,SKU-257431,Limited Yoga Mat,CAT0795,878.16,581.04,102,true
PROD00115,SKU-857416,Advanced Cookware Set,CAT0741,36.66,24.67,419,true
PROD00116,SKU-693740,Compact Speaker,CAT0637,253.06,136.94,216,true
PROD00117,SKU-296392,Essential Laptop,CAT0460,108.48,53.38,100,true
PROD00118,SKU-828407,Modern Backpack,CAT0152,509.02,304.20,218,true
PROD00119,SKU-961769,Deluxe Cookware Set,CAT0889,505.77,283.63,429,true
PROD00120,SKU-568352,Smart Chair,CAT0360,105.47,51.90,59,true
PROD00121,SKU-491072,Modern Watch,CAT0073,985.96,439.03,375,true
PROD00122,SKU-395973,Essential Sneakers,CAT0327,256.63,173.01,124,true
PROD00123,SKU-899896,Compact Monitor,CAT0360,237.80,111.12,432,true
PROD00124,SKU-552565,Vintage Chair,CAT0907,748.93,523.61,339,true
PROD00125,SKU-588627,Rustic Desk,CAT0032,778.89,350.73,423,false
PROD00126,SKU-931249,Modern Guitar,CAT0613,872.12,472.38,121,true
PROD00127,SKU-954349,Vintage Blender,CAT0472,50.98,22.07,400,true
PROD00128,SKU-112037,Portable Backpack,CAT0542,462.92,296.80,123,true
PROD00129,SKU-753619,Wireless Drill,CAT0127,497.45,285.09,51,true
PROD00130,SKU-225799,Classic Smartphone,CAT0292,1110.85,734.22,314,true
PROD00131,SKU-154958,Classic Sneakers,CAT0331,1082.75,708.36,497,true
PROD00132,SKU-739380,Ultra Jacket,CAT0716,336.27,223.81,28,true
PROD00133,SKU-890690,Smart Laptop,CAT0829,567.90,360.68,468,true
PROD00134,SKU-578691,Limited Chair,CAT0332,1175.35,635.02,335,true
PROD00135,SKU-901213,Portable Coffee Maker,CAT0979,371.08,184.34,372,true
PROD00136,SKU-321484,Deluxe Monitor,CAT0731,144.05,92.38,55,true
PROD00137,SKU-263638,Compact Vacuum,CAT0554,341.18,172.56,170,true
PROD00138,SKU-590190,Smart Treadmill,CAT0524,1123.38,498.78,165,true
PROD00139,SKU-181085,Eco Mixer,CAT0863,215.13,97.96,41,true
PROD00140,SKU-644449,Portable Yoga Mat,CAT0332,438.90,298.11,92,true
PROD00141,SKU-827075,Rustic Headphones,CAT0602,1007.41,578.86,92,true
PROD00142,SKU-587862,Compact Headphones,CAT0029,1199.26,490.10,385,true
PROD00143,SKU-761467,Vintage Vacuum,CAT0358,773.48,458.64,159,true
PROD00144,SKU-130566,Modern Smartphone,CAT0418,1118.37,492.58,279,true
PROD00145,SKU-776221,Portable Yoga Mat,CAT0036,959.28,434.75,373,true
PROD00146,SKU-836536,Ultra Jacket,CAT0258,521.66,322.11,430,true
PROD00147,SKU-315139,Smart Vacuum,CAT0823,515.16,308.72,240,true
PROD00148,SKU-132213,Rustic Router,CAT0898,684.38,375.67,403,true
PROD00149,SKU-735324,Advanced Router,CAT0769,191.99,119.21,229,true
PROD00150,SKU-452570,Essential Chair,CAT0443,805.90,410.20,107,true
PROD00151,SKU-482929,Essential Printer,CAT0683,1129.57,669.16,152,true
PROD00152,SKU-577487,Ultra Blender,CAT0656,961.31,549.31,189,true
PROD00153,SKU-657821,Classic Cookware Set,CAT0127,572.93,308.66,284,false
PROD00154,SKU-692448,Essential Tablet,CAT0607,768.03,464.03,430,true
PROD00155,SKU-242855,Portable Chair,CAT0351,1181.05,596.11,384,true
PROD00156,SKU-150548,Rustic Chair,CAT0796,344.76,199.44,424,true
PROD00157,SKU-866679,Essential Watch,CAT0740,1057.22,635.48,234,true
PROD00158,SKU-574100,Vintage Laptop,CAT0062,288.06,161.41,227,false
PROD00159,SKU-292215,Classic Desk,CAT0800,356.27,214.89,179,true
PROD00160,SKU-233741,Premium Router,CAT0864,789.38,442.23,104,true
PROD00161,SKU-958219,Vintage Headphones,CAT0677,941.93,391.09,364,true
PROD00162,SKU-483594,Advanced Speaker,CAT0611,684.32,285.41,455,true
PROD00163,SKU-845115,Modern Speaker,CAT0706,246.46,136.48,113,true
PROD00164,SKU-817368,Premium Speaker,CAT0544,48.09,25.35,478,true
PROD00165,SKU-843373,Classic Vacuum,CAT0302,43.76,28.63,397,true
PROD00166,SKU-620017,Wireless Speaker,CAT0984,1110.56,495.32,95,true
PROD00167,SKU-812197,Wireless Yoga Mat,CAT0458,292.47,129.28,470,true
PROD00168,SKU-574510,Ultra Yoga Mat,CAT0964,627.36,269.80,474,true
PROD00169,SKU-281183,Classic Yoga Mat,CAT0180,491.28,331.16,308,false
PROD00170,SKU-782803,Wireless Coffee Maker,CAT0154,230.37,139.80,150,true
PROD00171,SKU-788976,Deluxe Speaker,CAT0927,494.39,212.87,169,true
PROD00172,SKU-258055,Portable Jacket,CAT0433,95.66,46.10,29,true
PROD00173,SKU-224388,Essential Tablet,CAT0798,249.52,105.20,482,true
PROD00174,SKU-488357,Premium Chair,CAT0127,994.53,460.74,386,true
PROD00175,SKU-399169,Premium Watch,CAT0748,396.18,221.67,59,true
PROD00176,SKU-319553,Essential Blender,CAT0824,190.57,98.41,96,true
PROD00177,SKU-866615,Portable Chair,CAT0139,243.90,159.33,354,true
PROD00178,SKU-892729,Smart Speaker,CAT0972,8.97,4.43,71,true
PROD00179,SKU-505496,Rustic Chair,CAT0379,532.68,361.77,48,true
PROD00180,SKU-667386,Modern Backpack,CAT0267,1142.97,596.74,158,true
PROD00181,SKU-356894,Limited Guitar,CAT0026,448.54,210.52,61,false
PROD00182,SKU-940973,Wireless Backpack,CAT0255,169.96,78.05,176,true
PROD00183,SKU-209173,Advanced Headphones,CAT0353,547.11,282.80,469,true
PROD00184,SKU-739112,Deluxe Tablet,CAT0113,513.11,278.52,217,true
PROD00185,SKU-651618,Portable Chair,CAT0960,800.21,335.29,310,false
PROD00186,SKU-990350,Classic Headphones,CAT0849,177.35,73.02,208,true
PROD00187,SKU-599381,Rustic Sneakers,CAT0617,998.26,586.07,219,false
PROD00188,SKU-562876,Smart Tablet,CAT0763,230.59,97.90,342,false
PROD00189,SKU-577885,Wireless Smartphone,CAT0611,1133.89,456.66,2,true
PROD00190,SKU-673187,Vintage Blender,CAT0831,632.50,273.76,281,true
PROD00191,SKU-404758,Rustic Backpack,CAT0683,1027.91,623.95,50,true
PROD00192,SKU-872200,Smart Speaker,CAT0182,776.69,349.47,336,true
PROD00193,SKU-882301,Advanced Headphones,CAT0126,602.79,378.18,329,true
PROD00194,SKU-984087,Portable Speaker,CAT0482,1107.14,681.48,296,true
PROD00195,SKU-707188,Eco Blender,CAT0827,548.72,291.01,361,true
PROD00196,SKU-126293,Ultra Mixer,CAT0360,645.41,386.60,355,true
PROD00197,SKU-224255,Classic Jacket,CAT0265,499.47,289.91,464,true
PROD00198,SKU-465032,Modern Smartphone,CAT0819,1196.34,510.28,85,true
PROD00199,SKU-445922,Ultra Headphones,CAT0032,903.85,406.32,216,true
PROD00200,SKU-942375,Advanced Tablet,CAT0894,272.36,134.94,309,false
PROD00201,SKU-311750,Classic Printer,CAT0700,321.78,188.31,185,true
PROD00202,SKU-756496,Advanced Headphones,CAT0438,349.63,151.54,90,true
PROD00203,SKU-302846,Ultra Smartphone,CAT0913,818.43,518.59,462,true
PROD00204,SKU-356306,Rustic Router,CAT0678,1126.57,676.52,457,true
PROD00205,SKU-390270,Wireless Guitar,CAT0327,707.78,470.20,164,true
PROD00206,SKU-199902,Ultra Headphones,CAT0811,661.83,455.65,371,true
PROD00207,SKU-401048,Rustic Watch,CAT0157,1189.44,689.90,333,true
PROD00208,SKU-848884,Deluxe Desk,CAT0411,259.95,140.76,269,true
PROD00209,SKU-397915,Eco Watch,CAT0526,27.03,15.17,261,true
PROD00210,SKU-666148,Advanced Backpack,CAT0539,1132.77,778.84,460,true
PROD00211,SKU-679357,Compact Treadmill,CAT0407,372.57,157.38,372,true
PROD00212,SKU-217452,Vintage Monitor,CAT0951,368.68,168.66,474,true
PROD00213,SKU-813369,Ultra Mixer,CAT0662,1112.81,775.89,268,true
PROD00214,SKU-422076,Premium Vacuum,CAT0887,498.34,234.72,42,true
PROD00215,SKU-991080,Smart Speaker,CAT0310,750.69,484.13,325,true
PROD00216,SKU-326293,Limited Watch,CAT0546,459.70,278.76,383,true
PROD00217,SKU-956631,Deluxe Printer,CAT0543,945.83,488.68,270,true
PROD00218,SKU-716796,Ultra Camera,CAT0719,763.13,519.25,494,true
PROD00219,SKU-483847,Classic Tablet,CAT0382,252.41,155.70,187,true
PROD00220,SKU-556915,Classic Backpack,CAT0344,980.09,491.41,387,true
PROD00221,SKU-879054,Advanced Printer,CAT0784,1101.22,702.87,68,true
PROD00222,SKU-538286,Vintage Headphones,CAT0118,1005.10,544.75,8,true
PROD00223,SKU-140677,Ultra Cookware Set,CAT0888,385.29,193.82,114,true
PROD00224,SKU-144674,Premium Speaker,CAT0911,1019.16,576.14,235,true
PROD00225,SKU-495466,Classic Yoga Mat,CAT0147,119.58,65.44,248,true
PROD00226,SKU-218534,Ultra Vacuum,CAT0463,301.79,132.54,116,true
PROD00227,SKU-777791,Vintage Router,CAT0003,773.83,318.10,445,true
PROD00228,SKU-179165,Rustic Speaker,CAT0194,983.98,587.77,148,true
PROD00229,SKU-877614,Essential Printer,CAT0735,505.98,343.27,320,true
PROD00230,SKU-353224,Portable Router,CAT0554,879.33,488.35,274,true
PROD00231,SKU-628456,Smart Camera,CAT0649,1096.52,698.64,9,true
PROD00232,SKU-779644,Wireless Speaker,CAT0791,1186.66,826.02,276,true
PROD00233,SKU-550566,Classic Guitar,CAT0861,1185.72,801.67,119,true
PROD00234,SKU-133455,Deluxe Drill,CAT0690,180.19,98.94,212,true
PROD00235,SKU-624539,Wireless Chair,CAT0252,279.99,167.65,478,true
PROD00236,SKU-502270,Ultra Smartphone,CAT0588,459.86,289.66,349,true
PROD00237,SKU-804742,Ultra Tablet,CAT0891,1094.97,715.92,368,false
PROD00238,SKU-493570,Classic Treadmill,CAT0769,556.02,272.02,208,true
PROD00239,SKU-400469,Vintage Treadmill,CAT0331,404.52,200.63,156,true
PROD00240,SKU-391737,Compact Smartphone,CAT0271,720.59,368.79,472,true
PROD00241,SKU-262467,Deluxe Chair,CAT0475,953.43,438.68,376,true
PROD00242,SKU-531100,Rustic Blender,CAT0597,767.74,444.98,3,true
PROD00243,SKU-405509,Modern Monitor,CAT0941,879.34,359.79,478,true
PROD00244,SKU-367203,Essential Vacuum,CAT0394,223.60,145.84,97,false
PROD00245,SKU-690991,Advanced Backpack,CAT0268,337.59,194.85,79,true
PROD00246,SKU-710118,Modern Jacket,CAT0565,966.31,557.86,196,true
PROD00247,SKU-601226,Wireless Coffee Maker,CAT0574,1047.07,616.08,413,true
PROD00248,SKU-419566,Classic Sneakers,CAT0125,170.51,80.84,376,true
PROD00249,SKU-249378,Modern Blender,CAT0962,109.21,76.10,488,true
PROD00250,SKU-629431,Wireless Blender,CAT0595,249.23,118.27,485,true
PROD00251,SKU-806847,Eco Coffee Maker,CAT0917,331.23,219.67,147,true
PROD00252,SKU-272010,Ultra Watch,CAT0781,954.34,574.38,93,true
PROD00253,SKU-267713,Modern Printer,CAT0480,264.76,174.97,380,true
PROD00254,SKU-351468,Wireless Sneakers,CAT0860,562.89,379.00,170,true
PROD00255,SKU-735130,Limited Headphones,CAT0313,766.19,426.23,176,true
PROD00256,SKU-362654,Rustic Laptop,CAT0847,726.34,461.37,116,true
PROD00257,SKU-949294,Rustic Monitor,CAT0248,162.25,88.37,17,false
PROD00258,SKU-190388,Rustic Speaker,CAT0304,563.94,250.70,367,false
PROD00259,SKU-310527,Advanced Yoga Mat,CAT0993,279.79,181.61,116,true
PROD00260,SKU-391336,Deluxe Vacuum,CAT0147,546.12,332.36,188,false
PROD00261,SKU-894090,Advanced Watch,CAT0209,981.70,650.50,160,true
PROD00262,SKU-397388,Portable Watch,CAT0204,777.95,375.92,423,true
PROD00263,SKU-413093,Limited Desk,CAT0645,226.59,121.37,253,true
PROD00264,SKU-754440,Deluxe Sneakers,CAT0054,129.28,68.93,373,true
PROD00265,SKU-664804,Essential Cookware Set,CAT0744,920.50,517.01,330,true
PROD00266,SKU-232818,Advanced Smartphone,CAT0356,652.59,412.51,94,false
PROD00267,SKU-594906,Deluxe Jacket,CAT0135,561.10,385.73,243,true
PROD00268,SKU-503219,Rustic Smartphone,CAT0631,747.13,430.44,169,true
PROD00269,SKU-778506,Classic Speaker,CAT0659,150.94,79.95,138,true
PROD00270,SKU-787860,Compact Backpack,CAT0032,572.17,292.12,308,true
PROD00271,SKU-473778,Deluxe Vacuum,CAT0489,20.28,12.62,141,true
PROD00272,SKU-285968,Ultra Guitar,CAT0488,119.57,53.96,30,true
PROD00273,SKU-611630,Limited Jacket,CAT0060,313.39,170.00,192,true
PROD00274,SKU-550974,Advanced Backpack,CAT0730,793.14,422.32,115,true
PROD00275,SKU-302391,Modern Cookware Set,CAT0123,917.18,443.17,339,true
PROD00276,SKU-146173,Limited Monitor,CAT0996,964.87,670.58,405,false
PROD00277,SKU-458337,Classic Mixer,CAT0210,833.33,375.69,294,true
PROD00278,SKU-121050,Rustic Jacket,CAT0613,1175.65,695.98,400,true
PROD00279,SKU-108502,Wireless Chair,CAT0485,110.70,51.07,378,true
PROD00280,SKU-612548,Portable Watch,CAT0631,141.28,78.85,304,true
PROD00281,SKU-539899,Vintage Cookware Set,CAT0781,100.21,66.72,48,true
PROD00282,SKU-210534,Wireless Blender,CAT0167,806.75,452.73,101,true
PROD00283,SKU-254964,Smart Blender,CAT0258,912.40,368.99,1,true
PROD00284,SKU-136264,Eco Treadmill,CAT0226,419.68,204.70,258,true
PROD00285,SKU-627647,Compact Smartphone,CAT0710,95.40,49.87,89,true
PROD00286,SKU-411433,Eco Treadmill,CAT0224,1044.34,651.75,319,true
PROD00287,SKU-520581,Eco Headphones,CAT0859,1110.69,465.30,192,true
PROD00288,SKU-815868,Deluxe Coffee Maker,CAT0925,1000.90,502.62,486,true
PROD00289,SKU-136254,Premium Desk,CAT0849,935.90,652.51,320,true
PROD00290,SKU-680629,Rustic Treadmill,CAT0936,620.65,280.79,460,true
PROD00291,SKU-168204,Vintage Tablet,CAT0058,976.55,576.34,238,true
PROD00292,SKU-690721,Vintage Chair,CAT0418,1164.73,476.28,324,false
PROD00293,SKU-723441,Limited Cookware Set,CAT0185,756.37,480.97,124,true
PROD00294,SKU-887059,Premium Mixer,CAT0181,886.94,487.57,230,true
PROD00295,SKU-321343,Premium Backpack,CAT0420,988.57,641.46,439,true
PROD00296,SKU-859441,Essential Blender,CAT0321,1169.30,587.77,315,true
PROD00297,SKU-993769,Ultra Blender,CAT0149,12.51,7.53,68,true
PROD00298,SKU-901770,Classic Headphones,CAT0987,755.74,442.82,325,true
PROD00299,SKU-580555,Compact Laptop,CAT0501,1136.32,673.76,279,true
PROD00300,SKU-992949,Eco Treadmill,CAT0032,1145.20,519.82,204,true
PROD00301,SKU-728657,Portable Printer,CAT0937,69.83,42.69,360,true
PROD00302,SKU-701238,Rustic Camera,CAT0583,574.02,283.05,123,true
PROD00303,SKU-717274,Wireless Treadmill,CAT0697,919.25,556.55,167,true
PROD00304,SKU-583647,Eco Backpack,CAT0584,462.28,250.18,1,true
PROD00305,SKU-761238,Wireless Blender,CAT0206,314.66,209.79,452,false
PROD00306,SKU-938137,Smart Sneakers,CAT0264,580.21,249.39,15,true
PROD00307,SKU-141140,Eco Smartphone,CAT0541,213.07,116.74,67,true
PROD00308,SKU-186355,Rustic Printer,CAT0067,382.51,206.91,458,true
PROD00309,SKU-435152,Eco Sneakers,CAT0573,1108.49,684.81,134,true
PROD00310,SKU-737454,Portable Tablet,CAT0351,731.07,509.43,188,true
PROD00311,SKU-278371,Portable Sneakers,CAT0549,928.16,411.28,44,true
PROD00312,SKU-227493,Limited Laptop,CAT0578,294.91,129.02,444,true
PROD00313,SKU-259732,Portable Router,CAT0785,844.29,440.35,243,true
PROD00314,SKU-681417,Deluxe Desk,CAT0851,335.88,151.81,394,true
PROD00315,SKU-238816,Advanced Coffee Maker,CAT0153,664.78,432.97,173,true
PROD00316,SKU-738827,Deluxe Yoga Mat,CAT0586,971.46,568.01,118,true
PROD00317,SKU-488072,Eco Yoga Mat,CAT0482,45.29,21.67,218,true
PROD00318,SKU-117919,Eco Router,CAT0091,942.47,480.93,15,false
PROD00319,SKU-430706,Rustic Laptop,CAT0198,357.80,238.64,145,true
PROD00320,SKU-536258,Compact Printer,CAT0381,801.39,427.44,161,true
PROD00321,SKU-427073,Premium Coffee Maker,CAT0384,239.97,164.74,63,true
PROD00322,SKU-978475,Eco Monitor,CAT0779,320.13,223.99,401,true
PROD00323,SKU-943279,Portable Yoga Mat,CAT0203,802.46,556.43,373,true
PROD00324,SKU-668882,Vintage Drill,CAT0825,340.55,199.71,344,true
PROD00325,SKU-179270,Portable Coffee Maker,CAT0737,966.62,472.30,258,false
PROD00326,SKU-112479,Portable Smartphone,CAT0139,195.81,124.37,463,true
PROD00327,SKU-392302,Premium Drill,CAT0530,649.31,377.05,402,true
PROD00328,SKU-172402,Modern Tablet,CAT0699,688.94,289.75,454,false
PROD00329,SKU-269263,Premium Treadmill,CAT0179,526.68,307.05,369,true
PROD00330,SKU-614523,Vintage Desk,CAT0079,997.10,691.24,162,true
PROD00331,SKU-974093,Premium Sneakers,CAT0266,465.67,192.92,187,true
PROD00332,SKU-785697,Classic Jacket,CAT0251,759.08,432.87,1,true
PROD00333,SKU-720402,Smart Laptop,CAT0410,1077.89,675.17,400,true
PROD00334,SKU-572984,Smart Drill,CAT0316,1030.83,525.05,233,true
PROD00335,SKU-837937,Modern Treadmill,CAT0455,814.21,387.05,237,true
PROD00336,SKU-171685,Ultra Sneakers,CAT0655,978.97,425.76,333,true
PROD00337,SKU-461431,Advanced Vacuum,CAT0589,573.40,301.80,46,true
PROD00338,SKU-201965,Portable Speaker,CAT0334,894.52,608.24,438,true
PROD00339,SKU-156254,Advanced Jacket,CAT0550,367.57,204.83,234,true
PROD00340,SKU-829129,Portable Drill,CAT0757,639.36,312.99,156,true
PROD00341,SKU-868745,Advanced Chair,CAT0088,789.15,364.12,67,true
PROD00342,SKU-414726,Classic Headphones,CAT0379,597.70,296.24,366,true
PROD00343,SKU-710042,Wireless Headphones,CAT0931,286.85,169.42,169,true
PROD00344,SKU-563116,Ultra Drill,CAT0086,847.23,379.16,400,true
PROD00345,SKU-415180,Ultra Backpack,CAT0232,927.24,623.45,136,true
PROD00346,SKU-380606,Compact Smartphone,CAT0663,226.35,157.86,370,true
PROD00347,SKU-634996,Advanced Router,CAT0903,977.91,455.30,442,true
PROD00348,SKU-655590,Premium Monitor,CAT0520,579.45,310.61,274,true
PROD00349,SKU-943384,Eco Guitar,CAT0693,228.58,150.79,143,true
